strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
17/99 B	1999	"Mahajanga, Madagascar"	-15.71171171	46.31395349	Third Pandemic	Unused
1901b	1983	USA: NM	34.51994	-105.87009	Third Pandemic	Unused
195/P	1898-1950	India	20.593684	78.96288	Third Pandemic	Used
231(708)	1947	Kyrgyzstan	41.20438	74.766098	Third Pandemic	Unused
24H	1998	India: Hosur	12.740913	77.825292	Third Pandemic	Unused
53/91	1991	"Mahajanga, Madagascar"	-15.71171171	46.31395349	Third Pandemic	Unused
64/91	1991	"Mahajanga, Madagascar"	-15.71171171	46.31395349	Third Pandemic	Unused
A1122	1939	USA: California	36.778261	-119.417932	Third Pandemic	Unused
A120_LP05	435-631	"Germany, Ascheim"	48.17231	11.71591	First Pandemic	Used
A-1249	1970	Tajikistan: Sogdiyskaya Region	38.861034	71.276093	Third Pandemic	Unused
A-1486	1996	"Kyrgyzstan: Oshskaya Region, Alayskiy District"	39.840737	72.898807	Third Pandemic	Unused
A-1691	1971	Kyrgyzstan	41.20438	74.766098	Third Pandemic	Unused
A-1809	1980	"Kyrgyzstan: Range of Tien Shan Mountain System, Karagaily Area"	42.086662	79.245071	Third Pandemic	Unused
A-1815	1980	Kyrgyzstan: Talas district	42.46923	72.242866	Third Pandemic	Unused
A-1836	1983	Kyrgyzstan: Issyk-Kul'skaya region	42.185943	77.561942	Third Pandemic	Unused
A1956001	1956	"Xinjiang, China"	39.7	75.18	Third Pandemic	Used
A1973001	1973	"Xinjiang, China"	39.7	75.18	Third Pandemic	Used
A76_LP07	443-566	"Germany, Ascheim"	48.17231	11.71591	First Pandemic	Used
AE1175	428-571	"Germany, Altenerding"	48.288453	11.904854	First Pandemic	Used
Algeria 3	2015	"Algeria, Chott el Hodna"	35.434491	4.603723	Third Pandemic	Unused
Antiqua	1965	Congo	-4.038333	21.758664	Third Pandemic	Used
AS 200900596	2009	USA	37.09024	-95.712891	Third Pandemic	Unused
AS 2509	2004	USA: NM	34.51994	-105.87009	Third Pandemic	Unused
AS200901156	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
AS200901434	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
AS200901509	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
AS200901509	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
AS200901539	2009	"Las Vegas, NM"	35.594214	-105.222798	Third Pandemic	Unused
AS200902147	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
B42003004	2003	"Xinjiang, China"	44.95	81.08	Third Pandemic	Used
BA200901703	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
