strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_lat	consensus_lon
42013	1971	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585	44.45	84.62
42082	1995	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585	44.45	84.62
42091	1999	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585	44.45	84.62
42095	2001	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585	44.45	84.62
H1959004	1959	"Jilin, China"	45.2	124.82		"Jilin, China"	43.152011	126.437138	45.2	124.82
5	2004	"Qinghai, China"	36.9	98.46		"Qinghai, China"	35.744798	96.407736	36.9	98.46
620024	1962	"Qinghai, China"	35.6	99.99		"Qinghai, China"	35.744798	96.407736	35.6	99.99
D1964001	1964	"Qinghai, China"	37.37	101.62		"Qinghai, China"	35.744798	96.407736	37.37	101.62
C1976001	1976	"Gansu, China"	38.46	94.25		"Gansu, China"	35.751833	104.286112	38.46	94.25
71021	1989	"Gansu, China"	38.46	94.25		"Gansu, China"	35.751833	104.286112	38.46	94.25
710317	1971	"Qinghai, China"	36.72	101.28		"Qinghai, China"	35.744798	96.407736	36.72	101.28
7338	1973	"Xinjiang, China"	37.12	79.94		"Xinjiang, China"	42.524636	87.539585	37.12	79.94
D1982001	1982	"Gansu, China"	38.86	99.57		"Gansu, China"	35.751833	104.286112	38.86	99.57
7	2004	"Qinghai, China"	36.9	98.46		"Qinghai, China"	35.744798	96.407736	36.9	98.46
780441	1978	"Qinghai, China"	34.92	98.26		"Qinghai, China"	35.744798	96.407736	34.92	98.26
F1954001	1954	"Yunnan, China"	25.48	100.56		"Yunnan, China"	24.475285	101.343106	25.48	100.56
C1989001	1989	"Qinghai, China"	32.92	95.3		"Qinghai, China"	35.744798	96.407736	32.92	95.3
9	2004	"Qinghai, China"	33.35	97.12		"Qinghai, China"	35.744798	96.407736	33.35	97.12
91	1987	"Xinjiang, China"	38.09	85.32		"Xinjiang, China"	42.524636	87.539585	38.09	85.32
D1991004	1991	"Qinghai, China"	35.03	101.5		"Qinghai, China"	35.744798	96.407736	35.03	101.5
945	1994	"Xinjiang, China"	44.29	85.56		"Xinjiang, China"	42.524636	87.539585	44.29	85.56
970754	1997	"Qinghai, China"	32.23	96.47		"Qinghai, China"	35.744798	96.407736	32.23	96.47
CMCC02041	1965	"Qinghai, China"	38.2	100.22		"Qinghai, China"	35.744798	96.407736	38.2	100.22
CMCC03001	1954	"Qinghai, China"	34.75	101.62		"Qinghai, China"	35.744798	96.407736	34.75	101.62
CMCC05009	1961	"Qinghai, China"	35.6	99.99		"Qinghai, China"	35.744798	96.407736	35.6	99.99
CMCC05013	1988	"Qinghai, China"	35.6	99.99		"Qinghai, China"	35.744798	96.407736	35.6	99.99
CMCC10012	1964	"Qinghai, China"	36.89	100.99		"Qinghai, China"	35.744798	96.407736	36.89	100.99
CMCC104003	1989	"Inner Mongolia, China"	43.97	120.05		"Inner Mongolia, China"	43.37822	115.059481	43.97	120.05
CMCC106002	1996	"Inner Mongolia, China"	44.55	120.87		"Inner Mongolia, China"	43.37822	115.059481	44.55	120.87
CMCC107004	2003	"Inner Mongolia, China"	41.9	114		"Inner Mongolia, China"	43.37822	115.059481	41.9	114
CMCC11001	1954	"Qinghai, China"	35.57	100.75		"Qinghai, China"	35.744798	96.407736	35.57	100.75
F1946001	1946	"Fujian, China"	26.58	118.75		"Fujian, China"	26.483684	117.9249	26.58	118.75
CMCC114001	1952	"Fujian, China"	25.44	119		"Fujian, China"	26.483684	117.9249	25.44	119
CMCC12003	1961	"Qinghai, China"	37.37	101.62		"Qinghai, China"	35.744798	96.407736	37.37	101.62
I1994006	1994	"Hebei, China"	41.87	114.6		"Hebei, China"	37.895659	114.904221	41.87	114.6
D1964002	1964	"Qinghai, China"	37.37	101.62		"Qinghai, China"	35.744798	96.407736	37.37	101.62
J1978002	1978	"Ningxia, China"	36.56	105.64		"Ningxia, China"	37.198731	106.158094	36.56	105.64
CMCC125002	1964	"Ningxia, China"	35.97	105.7		"Ningxia, China"	37.198731	106.158094	35.97	105.7
