strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established	count_match	
D182038	1982	China: Jianchuan County	26.537033	99.905559	Third Pandemic	No	1	0
D1964001	1964	"Qinghai, China"	37.37	101.62	Third Pandemic	Yes	3	1
D1964002	1964	"Qinghai, China"	37.37	101.62	Third Pandemic	Yes	3	1
D1982001	1982	"Gansu, China"	38.86	99.57	Third Pandemic	Yes	1	1
D1991004	1991	"Qinghai, China"	35.03	101.5	Third Pandemic	Yes	1	1
Dodson	1967	"USA: Tuba City, AZ"	36.134993	-111.239863	Third Pandemic	No	1	0
E1977001	1977	"Yunnan, China"	26.53	99.88	Third Pandemic	Yes	7	1
EBD10-058	2010	"Canada: Grasslands National Park, Saskatchewan"	49.128598	-107.425616	Third Pandemic	No	1	0
El Dorado	2002	USA: NY: New York	40.712775	-74.005973	Third Pandemic	No	1	0
Ellwangen549_O	1485-1627	"Germany, Ellwangen"	48.962683	10.130151	Second Pandemic	Yes	1	1
EV NIIEG	1941	Russia	61.52401	105.318756	Third Pandemic	No	2	0
EV76-CN	1922	China	-18.766947	46.869107	Third Pandemic	No	3	0
EV76D	1922	Madagascar	-18.843222	47.469747	Third Pandemic	Yes	1	1
F1946001	1946	"Fujian, China"	26.58	118.75	Third Pandemic	Yes	1	1
F1954001	1954	"Yunnan, China"	25.48	100.56	Third Pandemic	Yes	1	1
F1984001	1984	"Yunnan, China"	24.69	97.93	Third Pandemic	Yes	1	1
F1991016	1991	"Yunnan, China"	23.15	99.24	Third Pandemic	Yes	1	1
FV-1	2001	USA	37.09024	-95.712891	Third Pandemic	No	2	0
G1670	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	No	10	0
G1670A	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	No	10	0
G1670E	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	No	10	0
G1996006	1996	"Tibet, China"	27.98	91.91	Third Pandemic	Yes	1	1
G1996010	1996	"Tibet, China"	28.46	92.42	Third Pandemic	Yes	1	1
G3768	1983	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	No	10	0
