BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleSRAAccession	BioSampleAccessionSecondary
SAMN02403083	PRJNA47685	I160001	SRS116768	SAMN00115235
SAMN00115235	PRJNA47685	I160001	SRS116768	SAMN02403083
SAMN02403084	PRJNA47685	I1969003	SRS116722	SAMN00115189
SAMN00115189	PRJNA47685	I1969003	SRS116722	SAMN02403084
SAMN02403085	PRJNA47685	I1970005	SRS116760	SAMN00115227
SAMN00115227	PRJNA47685	I1970005	SRS116760	SAMN02403085
SAMN02403086	PRJNA47685	I1991001	SRS116667	SAMN00115134
SAMN00115134	PRJNA47685	I1991001	SRS116667	SAMN02403086
SAMN02403087	PRJNA47685	I1994006	SRS116718	SAMN00115185
SAMN00115185	PRJNA47685	I1994006	SRS116718	SAMN02403087
SAMN02403088	PRJNA47685	I2001001	SRS116724	SAMN00115191
SAMN00115191	PRJNA47685	I2001001	SRS116724	SAMN02403088
SAMN02403089	PRJNA47685	J1963002	SRS116744	SAMN00115211
SAMN00115211	PRJNA47685	J1963002	SRS116744	SAMN02403089
SAMN02403090	PRJNA47685	J1978002	SRS116720	SAMN00115187
SAMN00115187	PRJNA47685	J1978002	SRS116720	SAMN02403090
SAMN02403091	PRJNA47685	K11973002	SRS116736	SAMN00115203
SAMN00115203	PRJNA47685	K11973002	SRS116736	SAMN02403091
SAMN02403092	PRJNA47685	K21985002	SRS116735	SAMN00115202
SAMN00115202	PRJNA47685	K21985002	SRS116735	SAMN02403092
SAMN02403093	PRJNA47685	M0000002		
SAMN02403094	PRJNA47685	MGJZ11	SRS116769	SAMN00115236
SAMN00115236	PRJNA47685	MGJZ11	SRS116769	SAMN02403094
SAMN02403095	PRJNA47685	MGJZ12	SRS116770	SAMN00115237
SAMN00115237	PRJNA47685	MGJZ12	SRS116770	SAMN02403095
SAMN02403096	PRJNA47685	MGJZ3	SRS116771	SAMN00115238
SAMN00115238	PRJNA47685	MGJZ3	SRS116771	SAMN02403096
SAMN02403097	PRJNA47685	MGJZ6	SRS116772	SAMN00115239
SAMN00115239	PRJNA47685	MGJZ6	SRS116772	SAMN02403097
SAMN02403098	PRJNA47685	MGJZ7	SRS116773	SAMN00115240
SAMN00115240	PRJNA47685	MGJZ7	SRS116773	SAMN02403098
SAMN02403099	PRJNA47685	MGJZ9	SRS116774	SAMN00115241
SAMN00115241	PRJNA47685	MGJZ9	SRS116774	SAMN02403099
SAMN02403100	PRJNA47685	SHAN11	SRS116775	SAMN00115242
SAMN00115242	PRJNA47685	SHAN11	SRS116775	SAMN02403100
