bioproject_accession	strain	collection_date	geographic_location	foci_number	foci_description	alternate_strain	biovar	sub_biovar	foci	
PRJNA269675	SCPM-O-B-7761	1983	"Leninakan, Armenia"	4	"Transcaucasian Highlands Leninaken (Armenia, Georgia)"	C-590	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-B-7812	2002	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3455	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-B-7832	1978	Armenia/Azerbaijan	5	"Transcaucasian Highlands Pre-Sevan (Armenia, Azerbaijan)"	C-359	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
PRJNA269675	SCPM-O-DNA-01	2001	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3442	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-02	2001	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3443	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-03	2001	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3446	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-04	2001	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3447	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-05	2007	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3515	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-06	2007	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3516	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-07	2007	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3517	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-08	2007	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3518	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-09	2007	"Russia, Altai Mountains"	36	Mountain-Altai (Russia)	I-3519	Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-10	1977	"Russia, Altai Mountains"				Medievalis	Altaica	"Mountain-Altai focus, #36"	
PRJNA269675	SCPM-O-DNA-11	1984	Inner Mongolia					Xilingolensis	Mongolia	
PRJNA269675	SCPM-O-DNA-12	1982	Inner Mongolia					Xilingolensis	Mongolia	
PRJNA269675	SCPM-O-DNA-13	1971	Estimated (Mongolia)					Microtus		
PRJNA269675	SCPM-O-DNA-14	1983	Estimated (Mongolia)					Microtus		
PRJNA269675	SCPM-O-DNA-15	1972	"Sailugem, Mongolia"	M01	"Sailugem, Mongolia"	I-2239				
PRJNA269675	SCPM-O-DNA-16	1974	"Bukhen Ulsk, Mongolia"	M02	"Bukhen Ulsk, Mongolia"	I-2422 (pMT+)				
PRJNA269675	SCPM-O-DNA-17	1973	"Gurvan Saikhan, Mongolia"	M13	"Gurvan Saikhan, Mongolia"	I-2457				
PRJNA269675	SCPM-O-B-6706	1986	"Gurvan Saikhan, Mongolia"	M13	"Gurvan Saikhan, Mongolia"	I-3189	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	
PRJNA269675	SCPM-O-B-6906	1974	"Bukhen Ulsk, Mongolia"	M02	"Bukhen Ulsk, Mongolia"	I-2422	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	"The genus Yersinia, from genomics to function'"
